
"Saturday, 19 September 2026 [performance over the past 7 days]"
Rank,Artist,Title
108,"Robert Miles","Children"
109,"M83","Outro"
110,"Rotem Cohen","אני אהיה לך בית"
111,"Roei Adam","אהבת חיי"
112,"Shay Hamber","הכל וכלום בבת אחת"
113,"Odeya","נמשכת לעצמי"
114,"Dudu Tassa","הגולה"
115,"Ofer Levi","מאוהב בגשם"
116,"ROSALÍA & Yahritza Y Su Esencia","La Perla"
117,"4 Non Blondes","What's Up?"
118,"Don Miguelo","Y Qué Fue?"
119,"Cascada","Everytime We Touch"
120,"Lola Young","Messy"
121,"Sasson Efram Shaulov","נווה הדרים"
122,"Harry Styles","Sign of the Times"
123,"BLOK3","Değiştiremezsin Yazılmışsa"
124,"Sting","Shape Of My Heart"
125,"Sasson Efram Shaulov & Roei Adam","אבי הטחול (מנורה לייב)"
126,"Itay Levy","08"
127,"Odeya","רוצי ילדה"
128,"Ariana Grande","hate that i made you love me"
129,"Daryl Hall & John Oates","Maneater"
130,"Tove Lo","Talking Body"
131,"Burak Bulut & Ebru Yaşar","Kehribar"
132,"El De Las R's","Beretta (De Los Cerros La Escuela)"
133,"Amy Macdonald","This Is The Life"
134,"&ME & Black Coffee","The Rapture Pt. III"
135,"Darco","Baziman (Mixed)"
136,"Benson Boone","Beautiful Things"
137,"הגר יפת","אתה חי בחלום"
138,"Teddy Swims","Lose Control"
139,"Olivia Rodrigo","stupid song"
140,"Charly Black","Gyal You a Party Animal"
141,"The Avihu Pinhasov Rhythm Club","מצילה אותי"
142,"Full Trunk","אין מילים איתך"
143,"Justin Bieber","Beauty and a Beat (feat. Nicki Minaj)"
144,"DJ Goja, Jason Derulo & Melody","Mi Chico (Jason Derulo x Melody Version)"
145,"Alex Warren","Ordinary"
146,"USHER","Yeah! (feat. Lil Jon & Ludacris)"
147,"Bar Tzabari","ככה באמת"
148,"Noodah05","Around Me"
149,"Rasko","די באד"
150,"RÜFÜS DU SOL","Innerbloom"
151,"Bad Bunny","Tití Me Preguntó"
152,"Cutting Crew","(I Just) Died In Your Arms"
153,"David Guetta, Bebe Rexha & J Balvin","Say My Name"
154,"Omer Adam","ריו דה ז'נרו"
155,"Odeya","בן אדם"
156,"Fat Papi & prodshushy","FREAKED OUT"
157,"Cheb Rezki","Ana Al Ghaltane"
158,"Gotye","Somebody That I Used to Know (feat. Kimbra)"
159,"Ella Langley","Choosin' Texas"
160,"Regina","Day By Day (Ghosts Radio Edit)"
161,"Tova Gertner","אתמול"
162,"Tom Odell","Another Love"
163,"BLOK3 & Poizi","Çok Güzel Gülüyorsun"
164,"Nirvana","Smells Like Teen Spirit"
165,"Olivia Dean","So Easy (To Fall In Love)"
166,"Prospa & Cloonee","Free Your Mind"
167,"Carla Morrison","Disfruto"
168,"Gigi Perez","Sailor Song"
169,"Miguel","Sure Thing"
170,"AURORA","Runaway"
171,"La Bouche","Be My Lover"
172,"Hiva, Haps & PAIX","Roja Nu"
173,"Michel Fugain & Le Big Bazar","Une belle histoire"
174,"The Killers","Mr. Brightside"
175,"Guy Gerber","Leave Me (Darco Remix)"
176,"Eden Ben Zaken","רולקס וקסקט"
177,"El De Las R's & Yng Lvcas","La Cheyenne (Remix)"
178,"Bad Bunny","DtMF"
179,"Dudu Tassa & The Kuwaitis","Eshrab Kasak Withana (Lior Miller Remix)"
180,"Alyssa Grace","bloodstream"
181,"Billy Idol","Eyes Without A Face"
182,"Chris Isaak","Wicked Game"
183,"Fleetwood Mac","The Chain"
184,"Taylor Swift","The Fate of Ophelia"
185,"Shuli Rand","לב לבן"
186,"Evanescence","Bring Me To Life"
187,"Malcolm Todd","Obsessica"
188,"Plain White T's","Hey There Delilah"
189,"RAYE","WHERE IS MY HUSBAND!"
190,"ADÉLA","Ain't In LA"
191,"Ricchi & Poveri","Sarà Perché Ti Amo"
192,"Jonas Blue & Malive","Edge of Desire"
193,"Itay Levy","שקרים יפים"
194,"Balkan Beat Box","Hermetico"
195,"Ben Zur","אישתי"
196,"Mor","תאהב אותי ככה"
197,"Offer Nissim","Everybody Needs a Man (feat. Maya Simantov)"
198,"Chicago","Hard to Say I'm Sorry"
199,"Aventura","Obsesión"
200,"урал гайсин & снялцепи","ты в моих мыслях навсегда"
