
"Tuesday, 8 September 2026 [performance over the past 7 days]"
Rank,Artist,Title
57,"Osher Cohen","כולם גנבים"
58,"Noa Kirel","לאב סונג"
59,"Olivia Rodrigo","stupid song"
60,"Adele","Lovesong"
61,"Itay Levy","06"
62,"Meir Banai & Eviatar Banai","אבל את"
63,"Ella Langley","Choosin' Texas"
64,"Shuli Rand & ShrekDiMC","עונג שבת"
65,"&ME & Black Coffee","The Rapture Pt. III"
66,"DJ.ILHAM","DIGIDI DIGIDI"
67,"Prince & The Revolution","Purple Rain"
68,"Sasson Efram Shaulov & Roei Adam","אבי הטחול (מנורה לייב)"
69,"Ravyn Lenae","Love Me Not"
70,"DYSTINCT","YAMA"
71,"Tame Impala","Dracula"
72,"TLC","No Scrubs"
73,"Bad Bunny","Tití Me Preguntó"
74,"Odeya","עשר רמות מעליו"
75,"Elderbrook & Bob Moses","Inner Light"
76,"SIENNA SPIRO","Die On This Hill"
77,"Yoni Rechter","כל עוד (feat. Avner Kaner (אבנר קנר))"
78,"Ariana Grande","hate that i made you love me"
79,"KAROL G, rusowsky & Judeline","BbY WOW"
80,"Sister Nancy","Bam Bam"
81,"Eyal Golan","בודד בעיר הגדולה"
82,"Mac Miller","Cinderella (feat. Ty Dolla $ign)"
83,"Miyagi & Эндшпиль","I Got Love (feat. Рем Дигга)"
84,"Stromae","Alors on danse (feat. Erik Hassle)"
85,"Alyssa Grace","bloodstream"
86,"Ricchi & Poveri","Sarà Perché Ti Amo"
87,"Empire Of The Sun","We Are The People"
88,"BLOK3 & Poizi","Çok Güzel Gülüyorsun"
89,"Bad Bunny","NUEVAYoL"
90,"SABI & MIA BOYKA","Базовый минимум (Slow Version)"
91,"Keren Peles & Israel Philharmonic Orchestra","מי היה מאמין (לייב מהיכל התרבות ת״א)"
92,"Eriko Sato, Orpheus Chamber Orchestra & Edward Brewer","Adagio for Strings and Organ in G Minor: Adagio - Beginning"
93,"Noodah05","Around Me"
94,"Bronski Beat","Smalltown Boy"
95,"Alice In Chains","Would?"
96,"Pet Shop Boys","It's a Sin"
97,"Prospa & Cloonee","Free Your Mind"
98,"Itay Levy","שקרים יפים"
99,"Don Miguelo","Y Qué Fue?"
100,"Ariana Grande","petal"
101,"JAŸ-Z","03' Bonnie & Clyde (feat. Beyoncé Knowles)"
102,"Abagar Quartet","Припевки"
103,"Roei Adam","אהבת חיי"
104,"Kimo Sounds","Make It Spectacular"
105,"Gigi Perez","Sailor Song"
106,"The Voice Israel, Eden Ben Zaken & אושר כהן","מנגינה"
107,"Fat Papi & prodshushy","FREAKED OUT"
108,"Nadav Hanzis","אביצ'י"
109,"גאיה שאקי","אם השם ירצה"
110,"El De Las R's","Beretta (De Los Cerros La Escuela)"
111,"Itay Levy","08"
112,"Temper City","Reverse Psychology"
113,"P!nk","Just Give Me a Reason (feat. Nate Ruess)"
114,"RÜFÜS DU SOL","Innerbloom"
115,"Gala","Freed From Desire"
116,"Dave & Tems","Raindance"
117,"Bruno Mars","Runaway Baby"
118,"Earth, Wind & Fire","September"
119,"Omri Smadar & Jenia Tarsol","Lose Your Soul (feat. Nona Choir)"
120,"Itay Levy","03"
121,"Olivia Dean","So Easy (To Fall In Love)"
122,"Jonas Blue & Malive","Edge of Desire"
123,"The Voice Israel & אושר כהן","נגעת לי בלב"
124,"Sean Paul featuring Keyshia Cole","(When You Gonna) Give It Up to Me [Radio Version] [feat. Keyshia Cole]"
125,"Nirvana","Smells Like Teen Spirit"
126,"AURORA","Runaway"
127,"Hermes House Band","The Rhythm Of The Night"
128,"Ben Zur","אישתי"
129,"Guy Gerber","Leave Me (Darco Remix)"
130,"Cheb Rezki","Ana Al Ghaltane"
131,"Dolly Parton & Kenny Rogers","Islands In the Stream"
132,"Lana Del Rey","Cinnamon Girl"
133,"Mazzy Star","Fade into You"
134,"Kiesza","Hideaway"
135,"Plain White T's","Hey There Delilah"
136,"DJ Goja, Jason Derulo & Melody","Mi Chico (Jason Derulo x Melody Version)"
137,"Jaman T","Будь моей"
138,"KATSEYE","Animal"
139,"Odeya","יכולה לבד"
140,"Omer Adam","ריו דה ז'נרו"
141,"Mor","תאהב אותי ככה"
142,"CamelPhat & Volkoder","Unique Moment"
143,"Joezi","7 Seconds (feat. Coco & Pape Diouf)"
144,"Hello Vera, ASLN & תמר ריילי","Aah W Noss (Cover)"
145,"Alex Warren","FEVER DREAM"
146,"Faouzia","UNETHICAL"
147,"הגר יפת","אתה חי בחלום"
148,"Lola Young","Messy"
149,"RAYE","WHERE IS MY HUSBAND!"
150,"Eden Ben Zaken","רולקס וקסקט"
151,"DA TI","Take Me There"
152,"Dolly Parton","9 To 5"
153,"Post Malone","Circles"
154,"KAROL G","Si Antes Te Hubiera Conocido"
155,"Sting","Shape Of My Heart"
156,"Lady Gaga & Bruno Mars","Die With A Smile"
157,"Julio Iglesias","Con la Misma Piedra (With the Same Stone)"
158,"Chris Isaak","Wicked Game"
159,"LP","Other People"
160,"Pearl Jam","Black (Live)"
161,"MoBlack, Wail Bouri & Emmanuel Jal","Beledna"
162,"Dudu Tassa","בית ביפו"
163,"Young Buta","סוד הנעורים"
164,"Peer Tasi","שיר האותיות"
165,"The Second Voice","LET ME BE"
166,"Gloria Gaynor","I Will Survive"
167,"Olivia Rodrigo","favorite crime"
168,"Scorpions","Wind of Change"
169,"Nunu","לילה"
170,"Mor","אולפנה של צביה"
171,"HUGEL, LaBritney & Mili","Stay Sexy"
172,"Hamo El Morshedy","عيال جديدة لانج"
173,"Tove Lo","Talking Body"
174,"David Guetta, Bebe Rexha & J Balvin","Say My Name"
175,"Vanessa Carlton","A Thousand Miles"
176,"El De Las R's","La Cheyenne"
177,"The Voice Israel, Osher Cohen & האורקסטרה של דה וויס ישראל","מפת העולם"
178,"The Avihu Pinhasov Rhythm Club","מצילה אותי"
179,"Mauvais Djo","Maladie"
180,"Indila","Dernière Danse"
181,"Shalom Hanoch","הדרכים הידועות"
182,"Rihanna","Don't Stop The Music"
183,"Justin Bieber","Beauty and a Beat (feat. Nicki Minaj)"
184,"The Voice Israel, תומר מזרחי & האורקסטרה של דה וויס ישראל","Sign Of The Times"
185,"Indila","Ainsi Bas La Vida"
186,"Evanescence","Bring Me to Life"
187,"LP","Lost on You"
188,"EMIN & JONY","Камин"
189,"Peer Tasi","מה יהיה מחר"
190,"Billy Joel","Piano Man"
191,"Lucenzo","Danza Kuduro (feat. Don Omar)"
192,"Carrapicho","Tic Tic Tac"
193,"Jorda, Fernandez & DJ SOLO","wtf am i gonna do with lemons"
194,"The Voice Israel, Idan Raichel, Eden Ben Zaken, Noa Kirel & Static","ארבעת המנטורים"
195,"The Police","Every Breath You Take"
196,"Bubby.m","איזה עולם מקולקל (feat. Mirin) [Live 2026 - Imaginary Tour]"
197,"ניר כנען","אוי ואבוי לי"
198,"Miguel","Sure Thing"
199,"Agam Buhbut","המבט בעיניך"
200,"Ma'ayan Shaked & David Ben Basat","שיר געגוע"
